#AUDIOSCROBBLER/1.1
#TZ/UNKNOWN
#CLIENT/Rockbox ipodvideo $Revision$
#ARTIST #ALBUM #TITLE #TRACKNUM #LENGTH #RATING #TIMESTAMP #MUSICBRAINZ_TRACKID
1$T	Kinky Girls from Big Cities Demo	My Arms	1	174	L	1749718449	
Addison Rae	Addison	Aquamarine	4	162	L	1750041527	
Addison Rae	Addison	Lost & Found	5	48	L	1750041690	
Addison Rae	Addison	High Fashion	6	198	L	1750041738	
Addison Rae	Addison	Summer Forever	7	227	L	1750041936	
Addison Rae	Addison	In The Rain	8	213	L	1750042164	
Addison Rae	Addison	Fame is a Gun	9	183	L	1750042378	
Addison Rae	Addison	Times Like These	10	232	L	1750042561	
Addison Rae	Addison	Life's No Fun Through Clear Waters	11	57	L	1750042794	
Addison Rae	Addison	Headphones On	12	240	L	1750042851	
Childish Gambino	Camp	Outside	1	270	L	1750060539	
Childish Gambino	Camp	Fire Fly	2	203	L	1750060815	
Childish Gambino	Camp	Bonfire	3	192	L	1750061018	
Childish Gambino	Camp	All The Shine	4	346	L	1750061213	
Childish Gambino	Camp	Letter Home	5	104	L	1750061557	
Childish Gambino	Camp	Letter Home	5	104	L	1750061770	
Childish Gambino	Camp	Heartbeat	6	269	L	1750061874	
Childish Gambino	Camp	Backpackers	7	195	L	1750062144	
Childish Gambino	Camp	Les	8	317	L	1750062340	
Childish Gambino	Camp	Hold You Down	9	292	L	1750062657	
Childish Gambino	Camp	Kids	10	297	L	1750062950	
Childish Gambino	Camp	You See Me	11	195	L	1750063248	
Childish Gambino	Camp	Sunrise	12	219	L	1750063445	
Playboi Carti	MUSIC - SORRY 4 DA WAIT	DIFFERENT DAY	31	166	S	1750063594	
Playboi Carti	MUSIC - SORRY 4 DA WAIT	LIKE WEEZY	25	115	L	1750063611	
Playboi Carti	MUSIC - SORRY 4 DA WAIT	DIS 1 GOT IT	26	123	S	1750063729	
The Bird	Strange Ballerina	Strange Ballerina	1	144	L	1750063740	
Ren G	Miss 24/7	Snow	4	173	L	1750063890	
Morgan Wallen	One Thing At A Time	One Thing At A Time	6	206	L	1750092493	
Morgan Wallen	One Thing At A Time	Born With A Beer In My Hand	1	188	L	1750092683	
Morgan Wallen	One Thing At A Time	Me + All Your Reasons	22	174	S	1750092877	
Morgan Wallen	One Thing At A Time	Last Night	2	163	L	1750092904	
Morgan Wallen	One Thing At A Time	Everything I Love	3	187	L	1750093073	
Morgan Wallen	One Thing At A Time	Man Made A Bar	4	191	L	1750093260	
Morgan Wallen	One Thing At A Time	Devil Don’t Know	5	205	L	1750093451	
Morgan Wallen	One Thing At A Time	One Thing At A Time	6	206	L	1750093657	
Morgan Wallen	One Thing At A Time	’98 Braves	7	178	L	1750093863	
Morgan Wallen	One Thing At A Time	Ain’t That Some	8	158	L	1750094042	
Morgan Wallen	One Thing At A Time	I Wrote The Book	9	181	L	1750094200	
Morgan Wallen	One Thing At A Time	Tennessee Numbers	10	225	L	1750094382	
Morgan Wallen	One Thing At A Time	Hope That’s True	11	186	L	1750094607	
Morgan Wallen	One Thing At A Time	Whiskey Friends	12	205	L	1750094794	
Morgan Wallen	One Thing At A Time	Sunrise	13	182	L	1750094999	
Morgan Wallen	One Thing At A Time	Keith Whitley	14	187	L	1750095182	
olivia jones	soundcloud singles	keep this in mind demo		141	L	1750095294	
Addison Rae	Addison	New York	1	152	L	1750147808	
Addison Rae	Addison	Summer Forever	7	227	L	1750147966	
Addison Rae	Addison	Times Like These	10	232	L	1750148193	
Bassvictim	Basspunk 2	Alice	1	125	L	1750148489	
Bassvictim	Basspunk 2	Grey skies	2	98	L	1750148620	
Bassvictim	Basspunk 2	Forever salty	3	145	L	1750148718	
Bassvictim	Basspunk 2	Life so far	4	144	L	1750148863	
Bassvictim	Basspunk 2	I'll be there	5	80	L	1750149008	
Bassvictim	Basspunk 2	Gajówka	6	157	L	1750149088	
Bassvictim	Basspunk 2	Hum it to google	7	117	L	1750149246	
Bassvictim	Basspunk 2	Wooden girl	8	175	L	1750149363	
Bassvictim	Basspunk 2	Live too fast	9	87	L	1750149538	
Bassvictim	Basspunk 2	LA	10	153	L	1750149625	
Bassvictim	Basspunk 2	With you	11	163	L	1750149779	
Bassvictim	Basspunk 2	Makes you wonder (Album Version)	12	263	L	1750149943	
Toro Y Moi	Hole Erth	Walking In The Rain	1	215	L	1750150422	
Toro Y Moi	Hole Erth	CD-R	2	156	L	1750150641	
Toro Y Moi	Hole Erth	HOV	3	228	L	1750150797	
Hank Williams	Memorial Album (Expanded Edition)	Your Cheatin' Heart	1	164	L	1750178985	
Hank Williams	Memorial Album (Expanded Edition)	Settin' The Woods On Fire	2	158	L	1750179155	
Hank Williams	Memorial Album (Expanded Edition)	You Win Again	3	158	L	1750179313	
Hank Williams	Memorial Album (Expanded Edition)	Hey, Good Lookin'	4	176	L	1750179471	
Hank Williams	Memorial Album (Expanded Edition)	Cold, Cold Heart	5	165	L	1750179648	
Hank Williams	Memorial Album (Expanded Edition)	Kaw-Liga	6	156	L	1750179814	
Hank Williams	Memorial Album (Expanded Edition)	I Could Never Be Ashamed Of You	7	167	L	1750179971	
Hank Williams	Memorial Album (Expanded Edition)	Half As Much	8	165	L	1750180138	
Hank Williams	Memorial Album (Expanded Edition)	Crazy Heart	9	149	L	1750180304	
Hank Williams	Memorial Album (Expanded Edition)	Move It On Over	10	166	L	1750180453	
Hank Williams	Memorial Album (Expanded Edition)	My Heart Would Know	11	147	L	1750180619	
Marjorie -W.C. Sinclair	Marjorie -W.C. Sinclair	Strawberry Mochi	1	58	L	1750180744	
Marjorie -W.C. Sinclair	22nd Chances	Puppy Eyes	1	110	L	1750180811	
Marjorie -W.C. Sinclair	22nd Chances	Nexus 3	2	145	L	1750180926	
Marjorie -W.C. Sinclair	22nd Chances	Great Escape	3	203	L	1750181072	
Marjorie -W.C. Sinclair	22nd Chances	Risk & Love	4	139	L	1750181276	
Marjorie -W.C. Sinclair	22nd Chances	Daikirai	5	100	L	1750181416	
Marjorie -W.C. Sinclair	22nd Chances	Devine Faith	6	143	L	1750181516	
Marjorie -W.C. Sinclair	22nd Chances	Another Life	7	102	L	1750181660	
Marjorie -W.C. Sinclair	22nd Chances	Fireflies	8	210	L	1750181762	
Marjorie -W.C. Sinclair	22nd Chances	Dubaii	9	109	L	1750181973	
Marjorie -W.C. Sinclair	22nd Chances	Noah's Ark	10	105	L	1750182082	
Marjorie -W.C. Sinclair	22nd Chances	Train to Barcelona	11	100	L	1750182187	
Marjorie -W.C. Sinclair	22nd Chances	Forgotten Lands	12	80	L	1750182288	
Marjorie -W.C. Sinclair	22nd Chances	Akimbo	13	87	L	1750182368	
Marjorie -W.C. Sinclair	22nd Chances	Hydroplane	14	91	L	1750451102	
Marjorie -W.C. Sinclair	22nd Chances	Gold Country Lanes	15	106	L	1750451193	
Sayuri & Sopholov	Secunena	Secunena	1	159	S	1750452708	
Sayuri & Sopholov	Secunena	Secunena	1	159	L	1750452754	
The Bird	Strange Ballerina	Strange Ballerina	1	144	L	1750452919	
The Hellp	LL	U	1	205	L	1750453064	
The Hellp	LL	Go Somewhere	2	202	L	1750453269	
The Hellp	LL	Colorado	3	158	L	1750453472	
The Hellp	LL	Rllynice	4	166	L	1750453631	
The Hellp	LL	Caustic	5	177	L	1750453797	
The Hellp	LL	LL	6	132	L	1750453975	
The Hellp	LL	Stunn	7	241	L	1750454108	
The Hellp	LL	Halo	8	210	L	1750454348	
The Hellp	LL	Sinamen	9	163	L	1750454559	
The Hellp	LL	Ether	10	173	L	1750454722	
The Hellp	LL	9_21	11	230	L	1750454896	
The Hellp	LL	Shadow	12	184	L	1750455126	
The Hellp	LL	Kill4Me	13	183	L	1750455311	
The Hellp	LL	Distribution	14	294	L	1750455495	
Imogen Heap	Speak for Yourself	Headlock	1	215	L	1750456368	
Imogen Heap	Speak for Yourself	Goodnight and Go	2	232	L	1750456607	
Imogen Heap	Speak for Yourself	Have You Got It in You?	3	249	L	1750456840	
Imogen Heap	Speak for Yourself	Loose Ends	4	219	L	1750457090	
Imogen Heap	Speak for Yourself	Hide and Seek	5	269	L	1750457309	
Imogen Heap	Speak for Yourself	Clear the Area	6	254	L	1750457578	
Imogen Heap	Speak for Yourself	Daylight Robbery	7	203	L	1750457833	
Imogen Heap	Speak for Yourself	The Walk	8	315	L	1750458037	
Imogen Heap	Speak for Yourself	Just for Now	9	180	L	1750458352	
Ren G	Miss 24/7	Time	1	149	S	1750458503	
Ren G	Miss 24/7	Strobe Light	2	149	S	1750458522	
Ren G	Miss 24/7	Miss 24/7	3	170	L	1750458534	
Ren G	Miss 24/7	Snow	4	173	L	1750458705	
Ren G	Miss 24/7	The Boys	5	181	L	1750458878	
Ren G	Miss 24/7	Congratulations	6	116	L	1750459063	
Ren G	Miss 24/7	Knockout	7	195	L	1750459176	
Ren G	Miss 24/7	Broken One	8	140	L	1750459372	
Tommy Fleece	audio stars 2 (Deluxe)	droptop drivebys	6	160	L	1750459506	
Tommy Fleece	audio stars 2 (Deluxe)	droptop drivebys	6	160	L	1750459714	
Tommy Fleece	audio stars 2 (Deluxe)	Yeah Buddy	17	151	S	1750459876	
Tommy Fleece	audio stars 2 (Deluxe)	Got your favorite	4	110	S	1750459892	
Tommy Fleece	audio stars 2 (Deluxe)	Estu venu	9	128	L	1750459893	
Tommy Fleece	audio stars 2 (Deluxe)	I heart Barcelona	12	227	S	1750460022	
Tommy Fleece	audio stars 2 (Deluxe)	Hometown hero	10	133	S	1750460074	
Tommy Fleece	audio stars 2 (Deluxe)	Dj girl (spin that sh**)	13	148	L	1750460078	
Tommy Fleece	audio stars 2 (Deluxe)	Wrestle it out	1	148	S	1750460229	
The Teenagers	Reality Check (North American Edition)	Homecoming	1	184	L	1750460240	
The Teenagers	Reality Check (North American Edition)	III	11	179	S	1750460429	
Toro Y Moi	Hole Erth	Walking In The Rain	1	215	L	1750460453	
Toro Y Moi	Hole Erth	CD-R	2	156	L	1750460672	
Toro Y Moi	Hole Erth	Hollywood	5	185	S	1750460829	
Teezo Touchdown	How Do You Sleep At Night? With You	OK	1	117	L	1750460863	
Teezo Touchdown	How Do You Sleep At Night? With You	You Thought (feat. Janelle Monáe)	2	181	L	1750460984	
Teezo Touchdown	How Do You Sleep At Night? With You	UUHH	3	209	L	1750461165	
Teezo Touchdown	How Do You Sleep At Night? With You	Sweet (feat. Fousheé)	4	132	L	1750461374	
Teezo Touchdown	How Do You Sleep At Night? With You	Impossible	5	166	L	1750461507	
Teezo Touchdown	How Do You Sleep At Night? With You	Neighborhood	6	207	L	1750461674	
Teezo Touchdown	How Do You Sleep At Night? With You	Mood Swings	7	173	S	1750461882	
The Bird	Strange Ballerina	Strange Ballerina	1	144	L	1750461924	
Cece Natalie	Miss Behaves	Limit	1	144	L	1750878255	
Cece Natalie	Miss Behaves	Exitin	2	187	L	1750878403	
Cece Natalie	Miss Behaves	Ambulance	3	146	L	1750878590	
Cece Natalie	Miss Behaves	754	4	245	S	1750878737	
Ren G	Miss 24/7	Time	1	149	L	1750970927	
Ren G	Miss 24/7	The Boys	5	181	L	1750971082	
Ren G	Miss 24/7	Songs	14	251	S	1750971263	
Ren G	Miss 24/7	Cherry Bye Bye	11	165	S	1750971274	
Ren G	Planet Ren	Planet Ren	1	149	L	1750971351	
The Bird	Strange Ballerina	Strange Ballerina	1	144	L	1750971510	
The Bird	Strange Ballerina	Strange Ballerina	1	144	S	1751720059	
The Bird	Strange Ballerina	Strange Ballerina	1	144	L	1751720091	
Daft Punk	Discovery	One More Time	1	320	L	1751721251	
Daft Punk	Discovery	Voyager	10	227	L	1751721576	
Daft Punk	Discovery	Short Circuit	12	206	L	1751721804	
Daft Punk	Discovery	Superheroes	7	237	L	1751722011	
Daft Punk	Discovery	Aerodynamic	2	212	L	1751722249	
Daft Punk	Discovery	Too Long	14	600	L	1751722461	
Daft Punk	Discovery	Digital Love	3	301	S	1751723050	
Daft Punk	Discovery	Something About Us	9	232	L	1751723054	
Daft Punk	Discovery	Veridis Quo	11	345	S	1751723291	
Daft Punk	Discovery	Nightvision	6	104	S	1751723458	
Daft Punk	Discovery	Harder, Better, Faster, Stronger	4	226	L	1751723462	
Daft Punk	Discovery	Crescendolls	5	211	L	1751723693	
Hank Williams	Memorial Album (Expanded Edition)	Settin' The Woods On Fire	2	158	L	1751724227	
Hank Williams	Memorial Album (Expanded Edition)	Crazy Heart	9	149	L	1751724391	
Hank Williams	Memorial Album (Expanded Edition)	Move It On Over	10	166	L	1751724540	
Hank Williams	Memorial Album (Expanded Edition)	Your Cheatin' Heart	1	164	L	1751724706	
Hank Williams	Memorial Album (Expanded Edition)	Kaw-Liga	6	156	L	1751724871	
Hank Williams	Memorial Album (Expanded Edition)	I Could Never Be Ashamed Of You	7	167	L	1751725027	
Hank Williams	Memorial Album (Expanded Edition)	My Heart Would Know	11	147	L	1751725194	
Hank Williams	Memorial Album (Expanded Edition)	Half As Much	8	165	L	1751725342	
Hank Williams	Memorial Album (Expanded Edition)	You Win Again	3	158	L	1751725508	
Hank Williams	Memorial Album (Expanded Edition)	I'm Sorry For You My Friend	12	164	L	1751725666	
Hank Williams	Memorial Album (Expanded Edition)	Hey, Good Lookin'	4	176	L	1751725830	
Hank Williams	Memorial Album (Expanded Edition)	Cold, Cold Heart	5	165	L	1751726007	
BabyTron	#CERTIFIED (DJ Ess Mix) [feat. DJ Ess]	#CERTIFIED (DJ Ess Mix)	1	122	L	1751748256	
2hollis	2	all 2s	1	167	L	1751748428	
2hollis	2	fame runner	8	217	L	1751748599	
2hollis	2	blackbirds	7	163	L	1751748816	
2hollis	2	PLASTER	10	260	L	1751748980	
2hollis	2	it will never be the same	11	284	L	1751749240	
2hollis	2	FORFEIT	5	170	L	1751749524	
2hollis	2	nothing2 lose	6	142	L	1751749695	
2hollis	2	2 u	9	149	L	1751749837	
2hollis	2	poster boy	2	121	L	1751749986	
2hollis	2	trust	4	171	L	1751750107	
2hollis	2	GOD	3	186	L	1751750278	
Daft Punk	Discovery	One More Time	1	320	L	1752049008	
Daft Punk	Discovery	Aerodynamic	2	212	L	1752049333	
Daft Punk	Discovery	Digital Love	3	301	L	1752049546	
Daft Punk	Discovery	Harder, Better, Faster, Stronger	4	226	L	1752049847	
Daft Punk	Discovery	Crescendolls	5	211	L	1752050073	
Daft Punk	Discovery	Nightvision	6	104	L	1752050285	
Daft Punk	Discovery	Superheroes	7	237	L	1752050389	
Daft Punk	Discovery	High Life	8	201	L	1752050627	
Daft Punk	Discovery	Something About Us	9	232	L	1752050829	
Daft Punk	Discovery	Voyager	10	227	L	1752051062	
Daft Punk	Discovery	Veridis Quo	11	345	S	1752051290	
Daft Punk	Discovery	Short Circuit	12	206	S	1752051309	
Daft Punk	Discovery	Veridis Quo	11	345	L	1752051311	
Daft Punk	Discovery	Short Circuit	12	206	L	1752051656	
Daft Punk	Discovery	Face to Face	13	240	L	1752051863	
Daft Punk	Discovery	Too Long	14	600	L	1752052103	
Addison Rae	Addison	Fame is a Gun	9	183	L	1752079924	
Addison Rae	Addison	High Fashion	6	198	L	1752080113	
Addison Rae	Addison	Aquamarine	4	162	L	1752080311	
Addison Rae	Addison	Headphones On	12	240	L	1752080474	
Addison Rae	Addison	Diet Pepsi	2	169	L	1752080714	
Addison Rae	Addison	Times Like These	10	232	L	1752080884	
Addison Rae	Addison	Lost & Found	5	48	L	1752081117	
Addison Rae	Addison	Summer Forever	7	227	L	1752081165	
Addison Rae	Addison	In The Rain	8	213	L	1752081393	
Addison Rae	Addison	New York	1	152	L	1752081607	
Addison Rae	Addison	Life's No Fun Through Clear Waters	11	57	L	1752081759	
Addison Rae	Addison	Money is Everything	3	122	L	1752081816	
Morgan Wallen	One Thing At A Time	One Thing At A Time	6	206	L	1752082000	
Morgan Wallen	One Thing At A Time	F150-50	18	191	L	1752082213	
Morgan Wallen	One Thing At A Time	Born With A Beer In My Hand	1	188	L	1752082404	
Morgan Wallen	One Thing At A Time	Last Drive Down Main	28	193	L	1752082593	
Morgan Wallen	One Thing At A Time	You Proof	16	157	L	1752082786	
Morgan Wallen	One Thing At A Time	Don't Think Jesus	30	225	L	1752082944	
Morgan Wallen	One Thing At A Time	Whiskey Friends	12	205	L	1752083169	
Morgan Wallen	One Thing At A Time	Neon Star (Country Boy Lullaby)	19	171	L	1752083375	
Morgan Wallen	One Thing At A Time	Wine Into Water	21	224	L	1752083546	
Morgan Wallen	One Thing At A Time	Keith Whitley	14	187	L	1752083770	
Morgan Wallen	One Thing At A Time	Thought You Should Know	17	215	L	1752083958	
Morgan Wallen	One Thing At A Time	’98 Braves	7	178	L	1752084173	
Morgan Wallen	One Thing At A Time	I Deserve A Drink	20	206	L	1752084352	
Morgan Wallen	One Thing At A Time	I Wrote The Book	9	181	L	1752084558	
Morgan Wallen	One Thing At A Time	Dying Man	36	183	L	1752084740	
Morgan Wallen	One Thing At A Time	Hope That’s True	11	186	L	1752084924	
Morgan Wallen	One Thing At A Time	Devil Don’t Know	5	205	L	1752085110	
Morgan Wallen	One Thing At A Time	Last Night	2	163	L	1752085315	
Morgan Wallen	One Thing At A Time	Sunrise	13	182	L	1752085479	
Morgan Wallen	One Thing At A Time	180 (Lifestyle)	31	189	L	1752085662	
Morgan Wallen	One Thing At A Time	Outlook	35	193	L	1752085851	
Morgan Wallen	One Thing At A Time	Man Made A Bar	4	191	L	1752086044	
Morgan Wallen	One Thing At A Time	Everything I Love	3	187	L	1752086236	
Morgan Wallen	One Thing At A Time	Had It	32	199	L	1752086423	
Morgan Wallen	One Thing At A Time	Thinkin’ Bout Me	25	177	L	1752086622	
Morgan Wallen	One Thing At A Time	Tennessee Fan	23	198	L	1752086799	
Morgan Wallen	One Thing At A Time	Ain’t That Some	8	158	L	1752086998	
Morgan Wallen	One Thing At A Time	In The Bible	15	195	L	1752087156	
Morgan Wallen	One Thing At A Time	Cowgirls	33	181	L	1752087355	
Morgan Wallen	One Thing At A Time	Me + All Your Reasons	22	174	L	1752087533	
Morgan Wallen	One Thing At A Time	Me To Me	29	138	L	1752087707	
Morgan Wallen	One Thing At A Time	Single Than She Was	26	160	L	1752087850	
Morgan Wallen	One Thing At A Time	Tennessee Numbers	10	225	L	1752088007	
Morgan Wallen	One Thing At A Time	Days That End In Why	27	162	L	1752088232	
Morgan Wallen	One Thing At A Time	Money On Me	24	175	L	1752088394	
